doc_id,genre,strategy,num_chunks,avg_chunk_sentences,mean_isd,mean_ibi,document_gpc,document_cma,document_cdf
1603.09631,scientific,Fixed-128,20,6.6,0.3845004409784451,0.1626199409365654,0.4748450590041617,0.7774242222309112,0.6212117602310127
1603.09631,scientific,Fixed-256,11,12.545454545454545,0.29634167186238547,0.11438397656787526,0.4339774838472989,0.7761938328092749,0.6841136985526125
1603.09631,scientific,Fixed-512,6,23.166666666666668,0.2934069922193885,0.07886611421902974,0.4193246588961068,0.8499069412549337,0.7587310361151004
1603.09631,scientific,Recursive-256,21,6.238095238095238,0.4439370255318603,0.1952504487264724,0.5017502101686829,0.7562170028686523,0.6062756067140975
1603.09631,scientific,Semantic-75,34,3.8529411764705883,0.5841378987054614,0.2434146307847079,0.5576416229875306,0.7368036824114182,0.5737049142171087
1603.09631,scientific,RandomMatched,17,7.705882352941177,0.4019667951061445,0.17962415428722606,0.4819795708252801,0.7877985414336709,0.6258132345173745
1603.09631,scientific,ShuffledNull,17,7.705882352941177,0.2600825150593129,0.13803971339674556,0.4310486186134741,0.690957413000219,0.6425528447653047
1911.06964,scientific,GoldSection,12,6.25,0.44035506318323314,0.25548116614421207,0.5196847739089484,0.8291369875272115,0.5915823452546183
1911.06964,scientific,Fixed-128,14,5.357142857142857,0.30566169389723136,0.15743628357137954,0.45253112681592383,0.809016934462956,0.5960355509704992
1911.06964,scientific,Fixed-256,8,9.75,0.36680909793358296,0.13739867135882378,0.4506215948895549,0.8295718804001808,0.6618721429216071
1911.06964,scientific,Fixed-512,4,19.75,0.27189527405425906,0.12478460371494293,0.42715604261022905,0.9271354526281357,0.7670102086657649
